Theta,Phi,Psi,Px,Py,Pz,ActuatorLengths_1,ActuatorLengths_2,ActuatorLengths_3,ActuatorLengths_4,ActuatorLengths_5,ActuatorLengths_6
-45,-15,-15,-2.5,1.5,9.5,11.41248513,8.877661538,7.451452118,9.261638062,11.62231766,12.98090903
-45,-15,-15,-0.5,-2.5,-2.5,4.581753149,6.716192775,6.722231867,4.127469505,1.301034876,2.577470369
-45,-15,-15,-0.5,-2.5,1.5,4.831620282,5.513410999,5.044208795,2.540918643,2.923956938,4.483555141
-45,-15,-15,-0.5,-2.5,5.5,7.864753057,6.887469893,6.112525269,5.22506837,7.07101465,7.943233727
-45,-15,-15,-0.5,-2.5,9.5,11.15005459,9.75328096,8.979206179,9.06018931,10.89749027,12.52344537
-45,-15,-15,-0.5,-0.5,-2.5,3.403114311,5.303867307,5.906002478,3.629412366,2.831806813,3.073455366
-45,-15,-15,-0.5,-0.5,1.5,3.811355738,3.637023384,3.299952163,1.856615078,3.884096052,4.923816479
-45,-15,-15,-0.5,-0.5,5.5,6.682944104,5.327627327,4.653123529,4.97183626,7.315827764,8.063997727
-45,-15,-15,-0.5,-0.5,9.5,10.53740739,8.822957312,7.906487056,8.762938916,11.10813951,11.88099735
-45,-15,-15,-0.5,1.5,-2.5,3.364231715,4.168147457,5.125058828,4.29632225,4.586074307,4.536306073
-45,-15,-15,-0.5,1.5,1.5,3.667330149,1.723924422,1.860240927,2.925869416,5.458677244,5.715125894
-45,-15,-15,-0.5,1.5,5.5,6.807336247,4.311777928,3.732187064,5.588644562,8.361282787,9.262839001
-45,-15,-15,-0.5,1.5,9.5,10.68151322,7.990024689,7.751382463,9.364141242,11.69040772,12.57305024
-45,-15,-15,1.5,-2.5,-2.5,3.793572669,6.95275575,7.658493404,5.233697002,2.077482993,0.663367551
-45,-15,-15,1.5,-2.5,1.5,3.976374273,5.84832195,6.001668579,4.204863889,3.330008216,3.640422557
-45,-15,-15,1.5,-2.5,5.5,7.091890291,7.009250395,6.97060438,6.313856939,7.170507494,7.498879866
-45,-15,-15,1.5,-2.5,9.5,10.6266996,9.955906362,9.400781556,9.843576278,11.2733783,11.56364401
-45,-15,-15,1.5,-0.5,-2.5,2.274221973,5.558853881,6.523141179,5.083129162,3.303430037,1.918221524
-45,-15,-15,1.5,-0.5,1.5,2.72931089,3.809910807,4.528918843,3.80188201,4.200931481,4.09267366
-45,-15,-15,1.5,-0.5,5.5,6.628023823,5.618096502,5.867494377,5.976307466,7.60188875,8.09846032
-45,-15,-15,1.5,-0.5,9.5,10.84787626,9.003064117,8.500131695,9.606368521,11.05648823,11.75960791
-45,-15,-15,1.5,1.5,-2.5,2.015192468,4.501943633,6.04782651,5.428415908,5.051637194,3.835275399
-45,-15,-15,1.5,1.5,1.5,2.524735618,2.116603269,3.695148344,4.369260907,5.595776061,5.370931617
-45,-15,-15,1.5,1.5,5.5,6.501604866,4.758104572,4.932021339,6.426117302,8.333274948,8.801875598
-45,-15,-15,1.5,1.5,9.5,10.31461796,8.302180263,8.482008632,9.871065867,12.05957401,12.07321952
-45,-15,15,-2.5,-2.5,-2.5,5.34233847,7.057430279,7.074076968,4.607214826,1.817862343,3.645010967
-45,-15,15,-2.5,-2.5,1.5,5.416072727,5.924947517,5.697542939,3.326044422,3.230631609,5.177292733
-45,-15,15,-2.5,-2.5,5.5,8.195769353,7.187597285,6.469938829,5.695209076,7.01062505,8.55172448
-45,-15,15,-2.5,-2.5,9.5,11.75607788,10.07876421,8.981438715,9.381308021,10.96588118,12.15532655
-45,-15,15,-2.5,-0.5,-2.5,4.994882926,5.806360754,5.857936104,3.473517637,2.347804465,4.28451949
-45,-15,15,-2.5,-0.5,1.5,5.244324011,4.415140697,3.649021032,1.475764764,3.586708019,5.740331423
-45,-15,15,-2.5,-0.5,5.5,7.926812881,6.016282846,4.956187597,4.875248976,6.980953073,8.425631002
-45,-15,15,-2.5,-0.5,9.5,10.98058706,9.207583634,8.087473973,8.711880311,11.09132007,12.28100661
